Resp_Duration,Resp_Focus,Resp_First_Input_Time,Resp_Last_Input_Time,Trial,Proc_Item,Proc_Trial Type,Proc_Max Time,Proc_Text,Proc_Procedure Notes,Proc_Shuffle 1,Username,ID
3000,1,,734,0,0,Instruct,user,This is how you show instructions.,Show instructions.,,username-test,MXQVDV2CN6
734,1,ghj,743,1,1,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,username-test,MXQVDV2CN6
526.7166777048,1,,525.7166777048,2,2,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,username-test,MXQVDV2CN6
998.3531786129,1,,997.3531786129,3,3,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,username-test,MXQVDV2CN6
95.4446492251,1,,94.4446492251,4,4,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,username-test,MXQVDV2CN6
78.440198442,1,,77.440198442,5,5,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,username-test,MXQVDV2CN6
85.3371375706,1,,84.3371375706,6,6,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,username-test,MXQVDV2CN6
138.6204131413,1,,137.6204131413,7,7,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,username-test,MXQVDV2CN6
827.5777671952,1,,826.5777671952,8,8,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,username-test,MXQVDV2CN6
653.7210964598,1,,652.7210964598,9,9,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,username-test,MXQVDV2CN6
734,1,,734,0,0,Instruct,user,This is how you show instructions.,Show instructions.,,Username-test2,MXQVDV2CN8
734,1,ghj,743,1,1,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test2,MXQVDV2CN8
526.7166777048,1,,525.7166777048,2,2,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test2,MXQVDV2CN8
998.3531786129,1,,997.3531786129,3,3,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test2,MXQVDV2CN8
95.4446492251,1,,94.4446492251,4,4,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test2,MXQVDV2CN8
78.440198442,1,,77.440198442,5,5,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test2,MXQVDV2CN8
85.3371375706,1,,84.3371375706,6,6,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test2,MXQVDV2CN8
138.6204131413,1,,137.6204131413,7,7,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test2,MXQVDV2CN8
827.5777671952,1,,826.5777671952,8,8,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test2,MXQVDV2CN8
653.7210964598,1,,652.7210964598,9,9,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test2,MXQVDV2CN8
3000,1,,734,0,0,Instruct,user,This is how you show instructions.,Show instructions.,,Username-test3,MXQVDV2CN9
734,1,ghj,743,1,1,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test3,MXQVDV2CN9
526.7166777048,1,,525.7166777048,2,2,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test3,MXQVDV2CN9
998.3531786129,1,,997.3531786129,3,3,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test3,MXQVDV2CN9
95.4446492251,1,,94.4446492251,4,4,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test3,MXQVDV2CN9
78.440198442,1,,77.440198442,5,5,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test3,MXQVDV2CN9
85.3371375706,1,,84.3371375706,6,6,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test3,MXQVDV2CN9
138.6204131413,1,,137.6204131413,7,7,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test3,MXQVDV2CN9
827.5777671952,1,,826.5777671952,8,8,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test3,MXQVDV2CN9
653.7210964598,1,,652.7210964598,9,9,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test3,MXQVDV2CN9
734,1,,734,0,0,Instruct,user,This is how you show instructions.,Show instructions.,,Username-test4,MXQVDV2CN1
734,1,ghj,743,1,1,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test4,MXQVDV2CN1
526.7166777048,1,,525.7166777048,2,2,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test4,MXQVDV2CN1
998.3531786129,1,,997.3531786129,3,3,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test4,MXQVDV2CN1
95.4446492251,1,,94.4446492251,4,4,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test4,MXQVDV2CN1
78.440198442,1,,77.440198442,5,5,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test4,MXQVDV2CN1
85.3371375706,1,,84.3371375706,6,6,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test4,MXQVDV2CN1
138.6204131413,1,,137.6204131413,7,7,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test4,MXQVDV2CN1
827.5777671952,1,,826.5777671952,8,8,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test4,MXQVDV2CN1
653.7210964598,1,,652.7210964598,9,9,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test4,MXQVDV2CN1
5,1,,734,0,0,Instruct,user,This is how you show instructions.,Show instructions.,,Username-test5,MXQVDV2CN2
6,1,ghj,743,1,1,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test5,MXQVDV2CN2
7,1,,525.7166777048,2,2,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test5,MXQVDV2CN2
6,1,,997.3531786129,3,3,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test5,MXQVDV2CN2
5,1,,94.4446492251,4,4,Instruct,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test5,MXQVDV2CN2
4,1,,77.440198442,5,5,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test5,MXQVDV2CN2
5,1,,84.3371375706,6,6,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test5,MXQVDV2CN2
6,1,,137.6204131413,7,7,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test5,MXQVDV2CN2
5,1,,826.5777671952,8,8,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test5,MXQVDV2CN2
4,1,,652.7210964598,9,9,Instruct1,user,Show a paragraph break using HTML paragraph tags: <p>&ltp&gt First Paragraph &lt/p&gt</p> <p>&ltp&gt Second Paragraph &lt/p&gt</p>,Show new paragraph.,,Username-test5,MXQVDV2CN2
